employeeId,firstName,lastName,managerId,fullName,email,department,region,location,inactiveIdentity,jobtitle,costcenter
1c2a3d,Marilyn,Dunn,1c2a,Marilyn.Dunn,Marilyn.Dunn@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,Internal QA Manager,"R02e, L04"
1c2b3a4e,Johnny,Elliott,1c2b3a,Johnny.Elliott,Johnny.Elliott@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Clerk,"R02e, L05e"
1b2b3a4b,Evelyn,Ellis,1b2b3a,Evelyn.Ellis,Evelyn.Ellis@demoexample,Human Resources,Europe,Munich,FALSE,Compensation,"R01e, L02e"
1a2b3c4b,Kimberly,Evans,1a2b3c,Kimberly.Evans,Kimberly.Evans@demoexample,Inventory,Americas,Brazil,FALSE,Inventory Analyst II,"R03e, L09e"
1c2c,Lori,Ferguson,1c,Lori.Ferguson,Lori.Ferguson@demoexample,Regional Operations,Asia-Pacific,Taipei,FALSE,Operations Analyst,"R02, L06"
1c2c3c4e,Curtis,Fernandez,1c2c3c,Curtis.Fernandez,Curtis.Fernandez@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06e"
1b2b3a4a,Terry,Fisher,1b2b3a,Terry.Fisher,Terry.Fisher@demoexample,Human Resources,Europe,Munich,FALSE,Compensation,"R01e, L02e"
1b2c3a,Douglas,Flores,1b2c,Douglas.Flores,Douglas.Flores@demoexample,Accounting,Europe,London,FALSE,Payroll Manager,"R01e, L03"
1b2a3b4e,Alice,Ford,1b2a3b,Alice.Ford,Alice.Ford@demoexample,Information Technology,Europe,Brussels,FALSE,Data Communications Analyst,"R01e, L01e"
1b2a3a4a,Carl,Foster,1b2a3a,Carl.Foster,Carl.Foster@demoexample,Information Technology,Europe,Brussels,FALSE,Security Architect,"R01e, L01e"
1c2b3c4a,Antonio,Franklin,1c2b3c,Antonio.Franklin,Antonio.Franklin@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Inventory Analyst I,"R02e, L05e"
1b2b3c4a,Ralph,Freeman,1b2b3c,Ralph.Freeman,Ralph.Freeman@demoexample,Inventory,Europe,Munich,FALSE,Procurement Buyer,"R01e, L02e"
1a2a3a4b,Margaret,Garcia,1a2a3a,Margaret.Garcia,Margaret.Garcia@demoexample,Information Technology,Americas,Austin,FALSE,Oracle Administrator,"R03e, L07e"
1c2b3d,Kathryn,Gardner,1c2b,Kathryn.Gardner,Kathryn.Gardner@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Inventory Manager,"R02e, L05"
1c2c3d4a,Rosa,Garza,1c2c3d,Rosa.Garza,Rosa.Garza@demoexample,Finance,Asia-Pacific,Taipei,TRUE,Financial Systems Analyst,"R02e, L06e"
1b2a3a4b,Frances,Gonzales,1b2a3a,Frances.Gonzales,Frances.Gonzales@demoexample,Information Technology,Europe,Brussels,FALSE,Security Architect,"R01e, L01e"
1a2b3a4b,Ruth,Gonzalez,1a2b3a,Ruth.Gonzalez,Ruth.Gonzalez@demoexample,Human Resources,Americas,Brazil,FALSE,Recruiter,"R03e, L09e"
1b2c3c4a,Wayne,Gordon,1b2c3c,Wayne.Gordon,Wayne.Gordon@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03e"
1b2a3c4b,Julie,Graham,1b2a3c,Julie.Graham,Julie.Graham@demoexample,Engineering,Europe,Brussels,FALSE,Inventory Analyst I,"R01e, L01e"
1c2a,Jane,Grant,1c,Jane.Grant,Jane.Grant@demoexample,Regional Operations,Asia-Pacific,Singapore,FALSE,SOX Access Reviewer,"R02, L04"
1b2a3b4a,Joyce,Griffin,1b2a3b,Joyce.Griffin,Joyce.Griffin@demoexample,Information Technology,Europe,Brussels,FALSE,Network Systems Administrator,"R01e, L01e"
1a2a3b4e,Karen,Hall,1a2a3b,Karen.Hall,Karen.Hall@demoexample,Information Technology,Americas,Austin,FALSE,Information Security Analyst,"R03e, L07e"
1b2a3c4a,Juan,Hamilton,1b2a3c,Juan.Hamilton,Juan.Hamilton@demoexample,Engineering,Europe,Brussels,FALSE,Staging Developer II,"R01e, L01e"
1c2a3d4b,Clarence,Harper,1c2a3d,Clarence.Harper,Clarence.Harper@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,QA Analyst,"R02e, L04e"
1a2c3c,Charles,Harris,1a2c,Charles.Harris,Charles.Harris@demoexample,Finance,Americas,San Jose,FALSE,Data Analyst,"R03e, L08"
1c2a3c4a,Craig,Hart,1c2a3c,Craig.Hart,Craig.Hart@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,Product Developer I,"R02e, L04e"
1c2c3d4b,Norman,Harvey,1c2c3d,Norman.Harvey,Norman.Harvey@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06e"
1c2a3c,Eugene,Hawkins,1c2a,Eugene.Hawkins,Eugene.Hawkins@demoexample,Engineering,Asia-Pacific,Singapore,FALSE,Internal Development Manager,"R02e, L04"
1b2a3a,Walter,Henderson,1b2a,Walter.Henderson,Walter.Henderson@demoexample,Information Technology,Europe,Brussels,FALSE,Security Architect,"R01e, L01"
1b2c3a4a,Bruce,Henry,1b2c3a,Bruce.Henry,Bruce.Henry@demoexample,Accounting,Europe,London,FALSE,Payroll Analyst I,"R01e, L03e"
1a2a3d4b,Kenneth,Hill,1a2a3d,Kenneth.Hill,Kenneth.Hill@demoexample,Engineering,Americas,Austin,FALSE,Production Test Engineer II,"R03e, L07e"
1c2c3c4a,Manuel,Howell,1c2c3c,Manuel.Howell,Manuel.Howell@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06e"
1c2b3b,Andrea,Hudson,1c2b,Andrea.Hudson,Andrea.Hudson@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Compensation & Benefits Manager,"R02e, L05"
1b2b3d,Marie,Hughes,1b2b,Marie.Hughes,Marie.Hughes@demoexample,Inventory,Europe,Munich,FALSE,Procurement Buyer,"R01e, L02"
1b2c3d4a,Denise,Hunt,1b2c3d,Denise.Hunt,Denise.Hunt@demoexample,Finance,Europe,London,TRUE,Treasury Analyst,"R01e, L03e"
1a2c3a,Richard,Jackson,1a2c,Richard.Jackson,Richard.Jackson@demoexample,Accounting,Americas,San Jose,FALSE,Senior Finance Manager,"R03e, L08"
1a2c3c4e,Raymond,James,1a2c3c,Raymond.James,Raymond.James@demoexample,Finance,Americas,San Jose,FALSE,Financial Planning Analyst,"R03e, L08e"
1b2a3c,Patrick,Jenkins,1b2a,Patrick.Jenkins,Patrick.Jenkins@demoexample,Engineering,Europe,Brussels,FALSE,Staging Manager,"R01e, L01"
1a2a,Mary,Johnson,1a,Mary.Johnson,Mary.Johnson@demoexample,Regional Operations,Americas,Austin,FALSE,Global Infrastructure Manager,"R03, L07"
1c2c3b4a,Florence,Johnston,1c2c3b,Florence.Johnston,Florence.Johnston@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,,"R02e, L06e"
1a2c,Patricia,Jones,1a,Patricia.Jones,Patricia.Jones@demoexample,Regional Operations,Americas,San Jose,FALSE,,"R03, L08"
1c2b3b4e,Emily,Kelley,1c2b3b,Emily.Kelley,Emily.Kelley@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Clerk,"R02e, L05e"
1b2c3a4e,Adam,Kennedy,1b2c3a,Adam.Kennedy,Adam.Kennedy@demoexample,Accounting,Europe,London,FALSE,Payroll Analyst II,"R01e, L03e"
1c2b,Randy,Knight,1c,Randy.Knight,Randy.Knight@demoexample,Regional Operations,Asia-Pacific,Tokyo,FALSE,Operations Director,"R02, L05"
1c2b3c4b,Robin,Lawson,1c2b3c,Robin.Lawson,Robin.Lawson@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Inventory Analyst I,"R02e, L05e"
1a2a3b4b,Daniel,Lewis,1a2a3b,Daniel.Lewis,Daniel.Lewis@demoexample,Information Technology,Americas,Austin,FALSE,,"R03e, L07e"
1b2b3b,Christine,Long,1b2b,Christine.Long,Christine.Long@demoexample,Human Resources,Europe,Munich,FALSE,Employment Manager,"R01e, L02"
1a2a3d4a,Sandra,Lopez,1a2a3d,Sandra.Lopez,Sandra.Lopez@demoexample,Engineering,Americas,Austin,TRUE,Staging Test Engineer I,"R03e, L07e"
1b2b3b4b,Samuel,Marshall,1b2b3b,Samuel.Marshall,Samuel.Marshall@demoexample,Human Resources,Europe,Munich,FALSE,Employee Relations Manager,"R01e, L02e"
1a2c3d,Susan,Martin,1a2c,Susan.Martin,Susan.Martin@demoexample,Finance,Americas,San Jose,FALSE,Financial Planning Analyst,"R03e, L08"
1c2a3a4a,Martin,Matthews,1c2a3a,Martin.Matthews,Martin.Matthews@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Windows Administrator,"R02e, L04e"
1c2c3b4e,Edna,Mccoy,1c2c3b,Edna.Mccoy,Edna.Mccoy@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06e"
1b2b3a4e,Keith,Mcdonald,1b2b3a,Keith.Mcdonald,Keith.Mcdonald@demoexample,Human Resources,Europe,Munich,FALSE,Compensation,"R01e, L02e"
1a2a3c,Michael,Miller,1a2a,Michael.Miller,Michael.Miller@demoexample,Engineering,Americas,Austin,FALSE,Senior Production Manager,"R03e, L07"
1b2c3d4e,Irene,Mills,1b2c3d,Irene.Mills,Irene.Mills@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03e"
1a2b3a4e,Ronald,Mitchell,1a2b3a,Ronald.Mitchell,Ronald.Mitchell@demoexample,Human Resources,Americas,Brazil,FALSE,Recruiter,"R03e, L09e"
1a2b3a,William,Moore,1a2b,William.Moore,William.Moore@demoexample,Human Resources,Americas,Brazil,FALSE,HR Manager,"R03e, L09"
1a2c3a4a,Larry,Morgan,1a2c3a,Larry.Morgan,Larry.Morgan@demoexample,Accounting,Americas,San Jose,FALSE,AP Accounting Manager,"R03e, L08e"
1a2b3d4b,Timothy,Morris,1a2b3d,Timothy.Morris,Timothy.Morris@demoexample,Inventory,Americas,Brazil,FALSE,Cost Savings Analyst,"R03e, L09e"
1b2b3b4e,Katherine,Murray,1b2b3b,Katherine.Murray,Katherine.Murray@demoexample,Human Resources,Europe,Munich,FALSE,Employee Relations Manager,"R01e, L02e"
1c,Aaron,Nichols,NULL,Aaron.Nichols,Aaron.Nichols@demoexample,Executive Management,Asia-Pacific,Singapore,FALSE,Operations Manager,"R02, L04, L05, L06"
1a2aX,D'Arcy,O'Mahoney,1a,D'Arcy.O'Mahoney,D'Arcy.O'Mahoney@demoexample,Regional Operations,Americas,Austin,FALSE,Global Infrastructure Manager,"R03, L07"
1c2c3a4b,Dawn,Oliver,1c2c3a,Dawn.Oliver,Dawn.Oliver@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06e"
1c2a3b4b,Todd,Olson,1c2a3b,Todd.Olson,Todd.Olson@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Unix Administrator,"R02e, L04e"
1a2b3c4a,Jason,Parker,1a2b3c,Jason.Parker,Jason.Parker@demoexample,Inventory,Americas,Brazil,FALSE,Procurement Analyst,"R03e, L09e"
1b2b3c,Harold,Patterson,1b2b,Harold.Patterson,Harold.Patterson@demoexample,Inventory,Europe,Munich,FALSE,Procurement Manager,"R01e, L02"
1c2c3b,Louise,Payne,1c2c,Louise.Payne,Louise.Payne@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06"
1a2b3b4a,Michelle,Perez,1a2b3b,Michelle.Perez,Michelle.Perez@demoexample,Human Resources,Americas,Brazil,FALSE,Training & Development Specialist,"R03e, L09e"
1c2b3a,Carlos,Perkins,1c2b,Carlos.Perkins,Carlos.Perkins@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Compensation & Benefits Manager,"R02e, L05"
1b2a3d,Carolyn,Perry,1b2a,Carolyn.Perry,Carolyn.Perry@demoexample,Engineering,Europe,Brussels,FALSE,Staging Manager,"R01e, L01"
1a2c3c4b,Rebecca,Peterson,1a2c3c,Rebecca.Peterson,Rebecca.Peterson@demoexample,Finance,Americas,San Jose,FALSE,Financial Planning Analyst,"R03e, L08e"
1c2c3c,Victor,Pierce,1c2c,Victor.Pierce,Victor.Pierce@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Inventory Analyst III,"R02e, L06"
1b2b3d4b,Roy,Porter,1b2b3d,Roy.Porter,Roy.Porter@demoexample,Inventory,Europe,Munich,FALSE,Procurement Buyer,"R01e, L02e"
1b2b3a,Peter,Powell,1b2b,Peter.Powell,Peter.Powell@demoexample,Human Resources,Europe,Munich,FALSE,Compensation,"R01e, L02"
1a2c3d4e,Martha,Price,1a2c3d,Martha.Price,Martha.Price@demoexample,Finance,Americas,San Jose,FALSE,Data Analyst,"R03e, L08e"
1c2a3a4e,Phillip,Ray,1c2a3a,Phillip.Ray,Phillip.Ray@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Windows Administrator,"R02e, L04e"
1b2a3d4e,Gloria,Reynolds,1b2a3d,Gloria.Reynolds,Gloria.Reynolds@demoexample,Engineering,Europe,Brussels,FALSE,Staging Developer I,"R01e, L01e"
1a2c3b4b,Scott,Richardson,1a2c3b,Scott.Richardson,Scott.Richardson@demoexample,Accounting,Americas,San Jose,FALSE,Accounts Receivable Analyst,"R03e, L08e"
1a2c3a4e,Frank,Rivera,1a2c3a,Frank.Rivera,Frank.Rivera@demoexample,Accounting,Americas,San Jose,FALSE,Accounts Payable Analyst,"R03e, L08e"
1a2b3b4b,Anthony,Roberts,1a2b3b,Anthony.Roberts,Anthony.Roberts@demoexample,Human Resources,Americas,Brazil,FALSE,,"R03e, L09e"
1b2c3c4e,Steve,Robertson,1b2c3c,Steve.Robertson,Steve.Robertson@demoexample,Finance,Europe,London,FALSE,Inventory Analyst II,"R01e, L03e"
1a2a3b4a,Lisa,Rodriguez,1a2a3b,Lisa.Rodriguez,Lisa.Rodriguez@demoexample,Information Technology,Americas,Austin,FALSE,Information Security Analyst,"R03e, L07e"
1c2a3a,Howard,Rose,1c2a,Howard.Rose,Howard.Rose@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,IT Distributed Systems Manager,"R02e, L04"
1b2c,Amanda,Ross,1b,Amanda.Ross,Amanda.Ross@demoexample,Regional Operations,Europe,London,FALSE,,"R01, L03"
1c2a3d4a,Tina,Ruiz,1c2a3d,Tina.Ruiz,Tina.Ruiz@demoexample,Engineering,Asia-Pacific,Singapore,TRUE,QA Analyst,"R02e, L04e"
1b2a3a4e,Ryan,Russell,1b2a3a,Ryan.Russell,Ryan.Russell@demoexample,Information Technology,Europe,Brussels,FALSE,Security Architect,"R01e, L01e"
1c2b3c4e,Bryan,Ryan,1c2b3c,Bryan.Ryan,Bryan.Ryan@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Inventory Analyst I,"R02e, L05e"
1a2b3d4a,Jessica,Sanchez,1a2b3d,Jessica.Sanchez,Jessica.Sanchez@demoexample,Inventory,Americas,Brazil,TRUE,Cost Savings Analyst,"R03e, L09e"
1c2b3d4a,Crystal,Schmidt,1c2b3d,Crystal.Schmidt,Crystal.Schmidt@demoexample,Inventory,Asia-Pacific,Tokyo,TRUE,Receiving Analyst,"R02e, L05e"
1b2c3c4b,Theresa,Shaw,1b2c3c,Theresa.Shaw,Theresa.Shaw@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03e"
1b2c3d,Catherine,Simmons,1b2c,Catherine.Simmons,Catherine.Simmons@demoexample,Finance,Europe,London,FALSE,Treasury Analyst,"R01e, L03"
1c2b3b4b,Earl,Sims,1c2b3b,Earl.Sims,Earl.Sims@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Clerk,"R02e, L05e"
1a,James,Smith,NULL,James.Smith,James.Smith@demoexample,Executive Management,Americas,Austin,FALSE,,"R03, L07, L08, L09"
1c2a3b4e,Julia,Snyder,1c2a3b,Julia.Snyder,Julia.Snyder@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Internal Auditor,"R02e, L04e"
1c2b3c,Russell,Spencer,1c2b,Russell.Spencer,Russell.Spencer@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Inventory Manager,"R02e, L05"
1c2c3d4e,Grace,Stanley,1c2c3d,Grace.Stanley,Grace.Stanley@demoexample,Finance,Asia-Pacific,Taipei,FALSE,Financial Systems Analyst,"R02e, L06e"
1c2c3a,Bobby,Stephens,1c2c,Bobby.Stephens,Bobby.Stephens@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06"
1b2b3c4e,Nicholas,Stevens,1b2b3c,Nicholas.Stevens,Nicholas.Stevens@demoexample,Inventory,Europe,Munich,FALSE,Inventory Analyst II,"R01e, L02e"
1a2b3c4e,Gary,Stewart,1a2b3c,Gary.Stewart,Gary.Stewart@demoexample,Inventory,Americas,Brazil,FALSE,Procurement Analyst,"R03e, L09e"
1c2a3b,Rachel,Stone,1c2a,Rachel.Stone,Rachel.Stone@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Internal Audit Manager,"R02e, L04"
1a2b3b,Elizabeth,Taylor,1a2b,Elizabeth.Taylor,Elizabeth.Taylor@demoexample,Human Resources,Americas,Brazil,FALSE,Training & Development Specialist,"R03e, L09"
1a2b3d,Jennifer,Thomas,1a2b,Jennifer.Thomas,Jennifer.Thomas@demoexample,Inventory,Americas,Brazil,FALSE,Cost Savings Analyst,"R03e, L09"
1a2a3a4a,Joseph,Thompson,1a2a3a,Joseph.Thompson,Joseph.Thompson@demoexample,Information Technology,Americas,Austin,FALSE,RACF Security Administrator,"R03e, L07e"
1a2c3c4a,Stephen,Torres,1a2c3c,Stephen.Torres,Stephen.Torres@demoexample,Finance,Americas,San Jose,FALSE,Financial Planning Analyst,"R03e, L08e"
1b2b3d4a,Judith,Tucker,1b2b3d,Judith.Tucker,Judith.Tucker@demoexample,Inventory,Europe,Munich,TRUE,Procurement Buyer,"R01e, L02e"
1a2c3b4e,Anna,Ward,1a2c3b,Anna.Ward,Anna.Ward@demoexample,Accounting,Americas,San Jose,FALSE,Accounts Receivable Analyst,"R03e, L08e"
1b2c3b4a,Judy,Warren,1b2c3b,Judy.Warren,Judy.Warren@demoexample,Accounting,Europe,London,FALSE,Senior Payroll Analyst,"R01e, L03e"
1b2c3b,Janet,Washington,1b2c,Janet.Washington,Janet.Washington@demoexample,Accounting,Europe,London,FALSE,Payroll Manager,"R01e, L03"
1c2a3b4a,Wanda,Watkins,1c2a3b,Wanda.Watkins,Wanda.Watkins@demoexample,Information Technology,Asia-Pacific,Singapore,FALSE,Internal Auditor,"R02e, L04e"
1a2c3d4a,Kathleen,Watson,1a2c3d,Kathleen.Watson,Kathleen.Watson@demoexample,Finance,Americas,San Jose,TRUE,Data Analyst,"R03e, L08e"
1c2b3a4b,Paula,Weaver,1c2b3a,Paula.Weaver,Paula.Weaver@demoexample,Human Resources,Asia-Pacific,Tokyo,FALSE,Benefits Clerk,"R02e, L05e"
1b2b3c4b,Joan,Wells,1b2b3c,Joan.Wells,Joan.Wells@demoexample,Inventory,Europe,Munich,FALSE,Procurement Buyer,"R01e, L02e"
1b2a3d4b,Jonathan,West,1b2a3d,Jonathan.West,Jonathan.West@demoexample,Engineering,Europe,Brussels,FALSE,Production Test Engineer I,"R01e, L01e"
1c2b3d4e,Rita,Wheeler,1c2b3d,Rita.Wheeler,Rita.Wheeler@demoexample,Inventory,Asia-Pacific,Tokyo,FALSE,Receiving Analyst,"R02e, L05e"
1a2c3b,Maria,White,1a2c,Maria.White,Maria.White@demoexample,Accounting,Americas,San Jose,FALSE,,"R03e, L08"
1a2b,John,Williams,1a,John.Williams,John.Williams@demoexample,Regional Operations,Americas,Brazil,FALSE,,"R03, L09"
1c2c3a4e,Leonard,Williamson,1c2c3a,Leonard.Williamson,Leonard.Williamson@demoexample,Accounting,Asia-Pacific,Taipei,FALSE,Tax Accountant,"R02e, L06e"
1a2a3d,Barbara,Wilson,1a2a,Barbara.Wilson,Barbara.Wilson@demoexample,Engineering,Americas,Austin,FALSE,Production Manager,"R03e, L07"
1b2a,Debra,Wood,1b,Debra.Wood,Debra.Wood@demoexample,Regional Operations,Europe,Brussels,FALSE,Inventory Analyst I,"R01, L01"
1b2a3c4e,Albert,Woods,1b2a3c,Albert.Woods,Albert.Woods@demoexample,Engineering,Europe,Brussels,FALSE,Inventory Analyst I,"R01e, L01e"
1a2a3c4e,George,Wright,1a2a3c,George.Wright,George.Wright@demoexample,Engineering,Americas,Austin,FALSE,Production Developer I,"R03e, L07e"
1a2a3c4b,Betty,Young,1a2a3c,Betty.Young,Betty.Young@demoexample,Engineering,Americas,Austin,FALSE,Production Developer II,"R03e, L07e"
